Legislação,Número,Link Ficha,Modalidade,Tipo,Objeto,Data Abertura,Data Publicação,Município,Órgão,Situação,Valor Referência (R$),Valor Adjudicado (R$)
Lei n° 14.133/2021,9.2026-026 FMAS,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333431,PREGÃO ELETRÔNICO,MENOR PREÇO,"AQUISIÇÃO DE 01 (UM) VEÍCULO AUTOMOVEL TIPO VAN, 0KM, ADAPTADO PARA O  
TRANSPORTE DE PESSOAS COM DEFICIÊNCIA (PCD) MEDIANTE EMENDA PARLAMENTAR N° 202536920005, PARA ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL SEMAS.",31/07/2026,20/07/2026,JACUNDA,FUNDO MUN.DE ASSISTENCIA SOCIAL,PUBLICADA,"334.499,51","0,00"
Lei n° 14.133/2021,004/2026IN/SEMEC,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333259,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ASSESSORIA E CONSULTORIA EDUCACIONAL, COM EXPERTISE EM GESTÃO ADMINISTRATIVA, POLÍTICA PÚBLICAS EDUCACIONAIS, ORGANIZAÇÃO NORMATIVA, PLANEJAMENTO ESTRATÉGICO E FORTALECIMENTO DA GESTÃO PUBLICA EDUCACIONAL, VISANDO O ACOMPANHAMENTO, ASSESSORAMENTO E MONITORAMENTO DA ESTRUTURA ADMINISTRATIVA E FORTALECIMENTO DA REDE MUNICIPAL DE ENSINO, ATENDENDO AS NECESSIDADES DA SECRETARIA MUNICIPAL DE EDUCAÇÃO E CULTURA - SEMEC.",15/01/2026,20/07/2026,RUROPOLIS,SEC MUN DE EDUCACAO,REALIZADA,"245.645,88","240.000,00"
Lei n° 14.133/2021,ARP-004-FMAS/2025,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333524,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),MENOR PREÇO,"AQUISIÇÃO DE UM VEÍCULO TIPO PICAPE, TRAÇÃO 4X4, NA COR BRANCA COM CARROCERIA (ZERO QUILÔMETRO) ANO/MODELO: 2025, CABINE DUPLA, 4 PORTAS, CAPACIDADE PARA 5 LUGARES, COMBUSTÃO À DIESEL, TRANSMISSÃO MANUAL DE 6 MARCHAS, AR-CONDICIONADO, VIDRO ELÉTRICO; TANQUE DE COMBUSTÍVEL COM CAPACIDADE MÍNIMA DE70L; CAPACIDADE DE CARGA MÍNIMA DE 1.000 KG; AIRBAGS DUPLO FRONTAL; FREIOS ABS; COMPUTADOR DE BORDO;CENTRAL/KIT MULTIMÍDIA OU RÁDIO AM/FM; PROTETOR DE CAÇAMBA, EQUIPADO COM TODOS OS ACESSÓRIOS EXIGIDOS PELO CONTRAN, DOCUMENTAÇÃO (EMPLACAMENTO/ LICENCIAMENTO) EM NOME DO ENTE FEDERADO, GARANTIA DE FÁBRICA DE NO MÍNIMO 12 (DOZE) MESES, PARA SUPRIR AS DEMANDAS DOS SERVIÇOS CADASTRO ÚNICO, PARA POSSIBILITAR A MELHORIA DAS CONDIÇÕES DE ATENDIMENTO, VISITAS DOMICILIARES E AMPLIAÇÃO DO ACESSO AOS SERVIÇOS E O APRIMORAMENTO DA GESTÃO.",10/10/2025,20/07/2026,ORIXIMINA,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,PUBLICADA,"256.000,00","256.000,00"
Lei n° 14.133/2021,38/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333331,PREGÃO ELETRÔNICO,MENOR PREÇO,REGISTRO DE PREÇOS PARA EVENTUAL CONTRATAÇÃO DE EMPRESA PARA PRESTAR SERVIÇOS DE MALHARIA EM GERAL PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DE AUGUSTO CORRÊA/PA.,13/08/2026,20/07/2026,AUGUSTO CORREA,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"909.181,00","0,00"
Lei n° 14.133/2021,7/2026-022FME,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333398,"DISPENSA, ART. 75, INCISOS XV",NÃO SE APLICA,"CONTRATAÇÃO DA FUNDAÇÃO DE AMPARO E DESENVOLVIMENTO A PESQUISA (FADESP) PARA A EXECUÇÃO DE CURSOS PRESENCIAIS RELACIONADOS À 3ª EDIÇÃO DO PROJETO DA CAPACITAÇÃO: PRATICAR PARA AVANÇAR, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE EDUCAÇÃO DE TUCUMÃ.",29/06/2026,20/07/2026,TUCUMA,FUNDO MUNICIPAL DE EDUCACAO,REALIZADA,"318.596,00","318.596,00"
Lei n° 14.133/2021,0013/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333790,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE MATERIAIS DE COPA, COZINHA, HIGIENE, LIMPEZA E DESCARTÁVEIS, DESTINADOS AO ATENDIMENTO DAS NECESSIDADES DE ABASTECIMENTO, MANUTENÇÃO DAS CONDIÇÕES DE HIGIENE, LIMPEZA, CONSERVAÇÃO E FUNCIONAMENTO DAS UNIDADES ADMINISTRATIVAS E DE SAÚDE, VISANDO SUPRIR AS DEMANDAS DA SECRETARIA MUNICIPAL DE SAÚDE DE PORTEL/PA.",31/07/2026,20/07/2026,PORTEL,FUNDO MUNICIPAL DE SAUDE DE PORTEL,PUBLICADA,"3.177.318,16","0,00"
Lei n° 14.133/2021,2025.10.17.001,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4332699,"INEXIGIBILIDADE, ART. 74, INCISO III, “F”",NÃO SE APLICA,CONTRATAÇÃO DE PRESTADOR DE SERVIÇO PARA MINISTRAR CURSO DE FORMAÇÃO E ATUALIZAÇÃO DE FISCAIS TRIBUTÁRIOS MUNICIPAIS,17/11/2025,20/07/2026,SANTA IZABEL DO PARA,PREFEITURA MUNICIPAL DE SANTA IZABEL DO PARA,REALIZADA,"28.000,00","28.000,00"
Lei n° 14.133/2021,PE/9.2026-020/PMP,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333213,PREGÃO ELETRÔNICO,MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE UM VEÍCULO TIPO CAMINHONETE PICK-UP 4X4, CABINE DUPLA, VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL DE PRODUÇÃO DO MUNICÍPIO DE PRAINHA/PA, CONFORME CONVÊNIO Nº 004/2025.",31/07/2026,20/07/2026,PRAINHA,PREFEITURA MUNICIPAL DE PRAINHA,PUBLICADA,"289.300,00","0,00"
Lei n° 14.133/2021,004/2024,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333458,"INEXIGIBILIDADE, ART. 74, INCISO III, “C”",NÃO SE APLICA,"CONTRATAÇÃO DE MÉDICO ESPECIALIZADO EM EXAMES DE ULTRASSONOGRAFIA, PRESTADOS AO MUNICÍPIO DE NOVA ESPERANÇA DO PIRIÁ-PA",17/01/2024,20/07/2026,NOVA ESPERANCA DO PIRIA,PREFEITURA MUNICIPAL DE NOVA ESPERANCA DO PIRIA,REALIZADA,"9.000,00","9.000,00"
Lei n° 14.133/2021,ADESÃO DE ATA REGISTRO DE PREÇOS – Nº 001/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333738,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),NÃO SE APLICA,AQUISIÇÃO DE CENTRAL DE AR PARA ATENDER AS NECESSIDADES DA PREFEITURA MUNICIPAL DO MUNICIPIO DE SÃO JOÃO DA PONTA/PA.,21/05/2026,20/07/2026,SAO JOAO DA PONTA,PREFEITURA MUNICIPAL DE SAO JOAO DA PONTA,REALIZADA,"399.553,17","385.640,00"
Lei n° 14.133/2021,031/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333239,PREGÃO ELETRÔNICO,MENOR PREÇO,"AQUISIÇÃO DE MATERIAIS, PRODUTOS QUÍMICOS E ACESSÓRIOS DESTINADOS À MANUTENÇÃO, LIMPEZA, TRATAMENTO E CONSERVAÇÃO DA PISCINA DO COMPLEXO DA JUVENTUDE, GARANTINDO CONDIÇÕES ADEQUADAS DE HIGIENE, SEGURANÇA, SALUBRIDADE E FUNCIONAMENTO PARA OS USUÁRIOS, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE ESPORTE E LAZER DE ALTAMIRA-PA",03/08/2026,20/07/2026,ALTAMIRA,PREFEITURA MUNICIPAL DE ALTAMIRA,PUBLICADA,"216.383,50","0,00"
Lei n° 14.133/2021,A/2026-0001,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333562,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),MENOR PREÇO,"ADESÃO PARCIAL À ATA DE REGISTRO DE PREÇOS, DECORRENTE DO PROCESSO LICITATÓRIO NA MODALIDADE PREGÃO ELETRÔNICO Nº 9/2025-0036-PE-SRP DO MUNICÍPIO DE IPIXUNA DO PARÁ, CUJO OBJETO É A AQUISIÇÃO DE MATERIAIS PERMANENTES, OBJETIVANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE EDUCAÇÃO DE SÃO MIGUEL DO GUAMÁ-PA",13/03/2026,20/07/2026,SAO MIGUEL DO GUAMA,FUNDEB,REALIZADA,"1.019.117,91","895.126,06"
Lei n° 14.133/2021,6/2026-030FMDCA,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333668,"INEXIGIBILIDADE, ART. 74, INCISO V",NÃO SE APLICA,"LOCAÇÃO DE IMÓVEL PARA O FUNCIONAMENTO DO CONSELHO TUTELAR DE TUCUMÃ, VINCULADO AO FUNDO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE.",07/07/2026,20/07/2026,TUCUMA,FUNDO MUNIC. DIREITOS CRIANCA E ADOLESC.,REALIZADA,"126.727,80","126.727,80"
Lei n° 14.133/2021,9.2026-079,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333673,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA FUTURA OU
EVENTUAL CONTRATAÇÃO DE EMPRESA NO FORNECIMENTO DE VIDROS E ACESSÓRIOS DE VIDRAÇARIA COM
INSTALAÇÃO COMPLETA, PARA UTILIZAÇÃO EM INFRAESTRUTURAS PREDIAIS DE BENS IMÓVEIS PERTENCENTES A REDE
PÚBLICA MUNICIPAL DE ENSINO GERENCIADA PELA SECRETARIA MUNICIPAL DE EDUCAÇÃO DE BRAGANÇA/PA.",31/07/2026,20/07/2026,BRAGANCA,FUNDO MUNICIPAL DE EDUCACAO,PUBLICADA,"3.203.836,00","0,00"
Lei n° 14.133/2021,A.2025-008 FME,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4329740,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),MENOR PREÇO,"PRESTAÇÃO DE SERVIÇOS DE ORGANIZAÇÃO DE EVENTOS (LOCAÇÃO DE EQUIPAMENTOS DE  
ILUMINAÇÃO, SONORIZARÃO, PALCO E OUTROS) PARA ATENDER AS NECESSIDADES DO FUNDO  
MUNICIPAL DE EDUCAÇÃO.",27/08/2025,20/07/2026,SENADOR JOSE PORFIRIO,FUNDO MUNICIPAL DE EDUCACAO,PUBLICADA,"132.458,02","0,00"
Lei n° 14.133/2021,37/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333308,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA A CONTRATAÇÃO DE SERVIÇOS GRÁFICOS E COMUNICAÇÃO VISUAL, PARA ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE SAÚDE DE AUGUSTO CORRÊA/PA.",11/08/2026,20/07/2026,AUGUSTO CORREA,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"1.204.769,05","0,00"
Lei n° 14.133/2021,PE 117.26.SMS,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4332967,PREGÃO ELETRÔNICO,MENOR PREÇO,"CONTRATAÇÃO DE PESSOA JURÍDICA DE DIREITO PRIVADO PARA A PRESTAÇÃO DE SERVIÇOS MÉDICOS ESPECIALIZADO NA ÁREA DE ULTRASSONOGRAFIA, DESTINADOS AO ATENDIMENTO DAS DEMANDAS ASSISTENCIAIS DO HOSPITAL MATERNO INFANTIL DE MARABÁ (HMI), A SEREM EXECUTADOS COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA.",04/08/2026,20/07/2026,MARABA,FUNDO MUNICIPAL DE SAUDE,PUBLICADA,"2.520.000,00","0,00"
Lei n° 14.133/2021,6.2025-00017,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333263,"INEXIGIBILIDADE, ART. 74, INCISO II",NÃO SE APLICA,"CONTRATAÇÃO DE SHOW ARTÍSTICO COM A APRESENTAÇÃO DO DJ
GIGIO BOY, EM OCASIÃO DO XL FESTIVAL DA CULTURA IRITUIENSE, COM O
OBJETIVO DE ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL DE
DESPORTO, CULTURA E TURISMO DO MUNICÍPIO DE IRITUIA/PA.",20/05/2026,20/07/2026,IRITUIA,PREFEITURA MUNICIPAL DE IRITUIA,REALIZADA,"150.000,00","150.000,00"
Lei n° 14.133/2021,7.2025-006,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4332653,"DISPENSA, ART. 75, INCISO II",MENOR PREÇO,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÃO, REMOÇÃO, MANUTENÇÃO PREVENTIVA, PREDITIVA E CORRETIVA EM APARELHOS DE AR CONDICIONADOS, CENTRAIS DE AR E APARELHOS DE REFRIGERAÇÃO PARA ATENDER AS DEMANDAS DAS SECRETARIAS DO MUNICÍPIO DE GOIANÉSIA DO PARÁ.",30/04/2025,20/07/2026,GOIANESIA DO PARA,SECRETÁRIA MUNICIPAL DE PLANEJAMENTO E ADMINISTRAÇÃO,REALIZADA,"60.596,89","58.780,72"
Lei n° 14.133/2021,INEXIGIBILIDADE Nº 008/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333782,"INEXIGIBILIDADE, ART. 74, INCISO II",MELHOR TÉCNICA OU CONTEÚDO ARTÍSTICO,"PRESTAÇÃO DE SERVIÇOS ARTÍSTICOS DE APRESENTAÇÃO MUSICAL ATRAVÉS DO CANTOR WILLY LIMA, PARA A PROGRAMAÇÃO PROMOVIDA PELA PREFEITURA MUNICIPAL DE SÃO JOÃO DA PONTA/PA.",10/07/2026,20/07/2026,SAO JOAO DA PONTA,PREFEITURA MUNICIPAL DE SAO JOAO DA PONTA,REALIZADA,"90.000,00","40.000,00"
Lei n° 14.133/2021,006/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4331221,"INEXIGIBILIDADE, ART. 74, INCISO II",MELHOR TÉCNICA OU CONTEÚDO ARTÍSTICO,"PRESTAÇÃO DE SERVIÇOS ARTÍSTICOS DE APRESENTAÇÃO DA APARELHAGEM LUXUOSO TAMATA DURANTE A PROGRAMAÇÃO DO 42° FESTIVAL DA GÓ 2026, NO DISTRITO DE BOA VISTA, MUNICÍPIO DE QUATIPURU/PA.",12/06/2026,20/07/2026,QUATIPURU,PREFEITURA MUNICIPAL DE QUATIPURU,REALIZADA,"100.000,00","100.000,00"
Lei n° 14.133/2021,9.2025-025-PMJ,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333298,PREGÃO ELETRÔNICO,MENOR PREÇO,"REGISTRO DE PREÇOS PARA A EVENTUAL AQUISIÇÃO DE ÓLEOS LUBRIFICANTES, ADITIVOS, FLUIDOS DE FREIO, GRAXAS E PRODUTOS AFINS, VISANDO O ATENDIMENTO DAS DEMANDAS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DA FROTA DE VEÍCULOS E MÁQUINAS DAS SECRETARIAS MUNICIPAIS DURANTE O EXERCÍCIO DE 2026.",30/07/2026,20/07/2026,JACUNDA,PREFEITURA MUNICIPAL DE JACUNDA,PUBLICADA,"2.096.060,84","0,00"
Lei n° 14.133/2021,001/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333356,"DISPENSA, ART. 75, INCISO II",NÃO SE APLICA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE PLANEJAMENTO, ORGANIZAÇÃO, COORDENAÇÃO, PRODUÇÃO, OPERACIONALIZAÇÃO E EXECUÇÃO DO EVENTO INSTITUCIONAL GALERIA DO SERVIDOR.",19/06/2026,20/07/2026,ANANINDEUA,ESCOLA DE GOVERNANÇA PUBLICA DE ANANINDEUA - EGPA,REALIZADA,"25.000,00","25.000,00"
Lei n° 14.133/2021,015/2026 INEX,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333463,"INEXIGIBILIDADE, ART. 74, INCISO II",MENOR PREÇO,"CONTRATAÇÃO DE SHOW ARTÍSTICO COM A BANDA REGIONAL FORRÓ ELITIZADO E ARTISTAS LOCAIS, PARA O FESTIVAL JUNINO, A REALIZAR-SE NA ORLA DO LAGO MUNICIPAL, NOS DIAS 26 E 27 DE JUNHO DE 2026, NO MUNICÍPIO DE NOVO PROGRESSO – PA.",15/06/2026,20/07/2026,NOVO PROGRESSO,PREFEITURA MUNICIPAL DE NOVO PROGRESSO,PUBLICADA,"200.000,00","200.000,00"
Lei n° 14.133/2021,ADESÃO DE ATA REGISTRO DE PREÇOS – Nº 002/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333766,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),NÃO SE APLICA,"AQUISIÇÃO DE CENTRAL DE AR, A FIM DE ATENDER AS NECESSIDADES DA SECRETARIA DE EDUCAÇÃO DO MUNICÍPIO DE SÃO JOÃO DA PONTA/PA.",21/05/2026,20/07/2026,SAO JOAO DA PONTA,FUNDO MUNICIPAL DE EDUCACAO,REALIZADA,"399.553,17","385.640,00"
Lei n° 14.133/2021,A.2025-003 FME,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4329714,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),MENOR PREÇO,"ADESÃO A ATA DE REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAL DE  
LIMPEZA PARA ATENDER AS DEMANDAS DO FUNDO MUNICIPAL DE EDUCAÇÃO DE SENADOR JOSÉ  
PORFÍRIO/PA",06/05/2025,20/07/2026,SENADOR JOSE PORFIRIO,FUNDO MUNICIPAL DE EDUCACAO,PUBLICADA,"607.532,72","607.532,72"
Lei n° 14.133/2021,ADESÃO DE ATA REGISTRO DE PREÇOS - Nº 003/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333758,ADESÃO A ATA DE SRP (CONCORRÊNCIA PÚBLICA E PREGÃO PRESENCIAL OU ELETRÔNICO),NÃO SE APLICA,"AQUISIÇÃO DER CENTRAL DE AR, A FIM DE ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE DO MUNICÍPIO DE SÃO JOÃO DA PONTA/PA.",21/05/2026,20/07/2026,SAO JOAO DA PONTA,FUNDO MUNICIPAL DE SAUDE,REALIZADA,"399.553,17","385.640,00"
Lei n° 14.133/2021,6050/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333592,"INEXIGIBILIDADE, ART. 74, INCISO II",NÃO SE APLICA,"CONTRATAÇÃO DA ARTISTA JU MARQUES PARA APRESENTAÇÃO ARTÍSTICA NO FESTIVAL DE VERÃO 2026, A SER REALIZADO NO MUNICÍPIO DE BARCARENA, ESTADO DO PARÁ.",18/06/2026,20/07/2026,BARCARENA,PREFEITURA MUNICIPAL DE BARCARENA,REALIZADA,"250.000,00","250.000,00"
Lei n° 14.133/2021,012/2026-SEMED/PMLA,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4306756,PREGÃO ELETRÔNICO,MENOR PREÇO,FORMAÇÃO DE REGISTRO DE PREÇO PARA FUTURA E EVENTUAL AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS (PERECÍVEIS E NÃO PERECÍVEIS) PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR DO MUNICÍPIO DE LIMOEORO DO AJURU/PA.,29/05/2026,20/07/2026,LIMOEIRO DO AJURU,FUNDO MUNICIPAL DE EDUCAÇÃO,PUBLICADA,"3.905.525,60","0,00"
Lei n° 14.133/2021,INEXIGIBILIDADE Nº 007/2026,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333774,"INEXIGIBILIDADE, ART. 74, INCISO II",MELHOR TÉCNICA OU CONTEÚDO ARTÍSTICO,"PRESTAÇÃO DE SERVIÇOS ARTÍSTICOS DE APRESENTAÇÃO MUSICAL ATRAVÉS DO CANTOR THIAGO COSTA, PARA A PROGRAMAÇÃO PROMOVIDA PELA PREFEITURA MUNICIPAL DE SÃO JOÃO DA PONTA/PA.",07/07/2026,20/07/2026,SAO JOAO DA PONTA,PREFEITURA MUNICIPAL DE SAO JOAO DA PONTA,REALIZADA,"53.333,33","35.000,00"
Lei n° 14.133/2021,DP 03.2026.CPL,https://www.tcmpa.tc.br/mural-de-licitacoes/licitacoes/ficha/4333231,"DISPENSA, ART. 75, INCISO II",NÃO SE APLICA,"AQUISIÇÃO DE MATERIAIS E EQUIPAMENTOS PARA POSSIBILITAR QUE O DESENVOLVIMENTO DE ATIVIDADES ESPORTIVAS, RECREATIVAS E DE LAZER AQUÁTICO PROMOVIDAS PELA SECRETARIA MUNICIPAL DE ESPORTE E LAZER (SEMEL).",22/06/2026,20/07/2026,MARABA,SECRETARIA MUNICIPAL DE ADMINISTRACAO,REALIZADA,"56.726,40","56.726,40"
